Elemento,Nombre,Símbolo,Radio Covalente,Masa Atómica,Nombre atomo
1,Elemento 1,H,31,1.008,Hydrogen
2,Elemento 2,He,28,4.002602,Helium
3,Elemento 3,Li,128,6.94,Lithium
4,Elemento 4,Be,96,9.0121831,Beryllium
5,Elemento 5,B,85,10.81,Boron
6,Elemento 6,C,76,12.011,Carbon
7,Elemento 7,N,71,14.007,Nitrogen
8,Elemento 8,O,66,15.999,Oxygen
9,Elemento 9,F,57,18.998403163,Fluorine
10,Elemento 10,Ne,58,20.1797,Neon
11,Elemento 11,Na,166,22.98976928,Sodium
12,Elemento 12,Mg,141,24.305,Magnesium
13,Elemento 13,Al,121,26.9815385,Aluminum
14,Elemento 14,Si,111,28.085,Silicon
15,Elemento 15,P,107,30.973761998,Phosphorus
16,Elemento 16,S,105,32.06,Sulfur
17,Elemento 17,Cl,102,35.45,Chlorine
18,Elemento 18,Ar,106,39.948,Argon
19,Elemento 19,K,203,39.0983,Potassium
20,Elemento 20,Ca,176,40.078,Calcium
21,Elemento 21,Sc,170,44.955908,Scandium
22,Elemento 22,Ti,160,47.867,Titanium
23,Elemento 23,V,153,50.9415,Vanadium
24,Elemento 24,Cr,139,51.9961,Chromium
25,Elemento 25,Mn,139,54.938044,Manganese
26,Elemento 26,Fe,132,55.845,Iron
27,Elemento 27,Co,126,58.933194,Cobalt
28,Elemento 28,Ni,124,58.6934,Nickel
29,Elemento 29,Cu,132,63.546,Copper
30,Elemento 30,Zn,122,65.38,Zinc
31,Elemento 31,Ga,122,69.723,Gallium
32,Elemento 32,Ge,120,72.63,Germanium
33,Elemento 33,As,119,74.921595,Arsenic
34,Elemento 34,Se,120,78.971,Selenium
35,Elemento 35,Br,120,79.904,Bromine
36,Elemento 36,Kr,116,83.798,Krypton
37,Elemento 37,Rb,220,85.4678,Rubidium
38,Elemento 38,Sr,195,87.62,Strontium
39,Elemento 39,Y,190,88.90584,Yttrium
40,Elemento 40,Zr,175,91.224,Zirconium
41,Elemento 41,Nb,164,92.90637,Niobium
42,Elemento 42,Mo,154,95.95,Molybdenum
43,Elemento 43,Tc,147,97,Technetium
44,Elemento 44,Ru,146,101.07,Ruthenium
45,Elemento 45,Rh,142,102.9055,Rhodium
46,Elemento 46,Pd,139,106.42,Palladium
47,Elemento 47,Ag,145,107.8682,Silver
48,Elemento 48,Cd,144,112.414,Cadmium
49,Elemento 49,In,142,114.818,Indium
50,Elemento 50,Sn,139,118.71,Tin
51,Elemento 51,Sb,139,121.76,Antimony
52,Elemento 52,Te,138,127.6,Tellurium
53,Elemento 53,I,139,126.90447,Iodine
54,Elemento 54,Xe,140,131.293,Xenon
55,Elemento 55,Cs,244,132.90545196,Cesium
56,Elemento 56,Ba,215,137.327,Barium
57,Elemento 57,La,207,138.90547,Lanthanum
58,Elemento 58,Ce,204,140.116,Cerium
59,Elemento 59,Pr,203,140.90766,Praseodymium
60,Elemento 60,Nd,201,144.242,Neodymium
61,Elemento 61,Pm,199,145,Promethium
62,Elemento 62,Sm,198,150.36,Samarium
63,Elemento 63,Eu,198,151.964,Europium
64,Elemento 64,Gd,196,157.25,Gadolinium
65,Elemento 65,Tb,194,158.92535,Terbium
66,Elemento 66,Dy,192,162.5,Dysprosium
67,Elemento 67,Ho,192,164.93033,Holmium
68,Elemento 68,Er,189,167.259,Erbium
69,Elemento 69,Tm,190,168.93422,Thulium
70,Elemento 70,Yb,187,173.045,Ytterbium
71,Elemento 71,Lu,187,174.9668,Lutetium
72,Elemento 72,Hf,175,178.49,Hafnium
73,Elemento 73,Ta,170,180.94788,Tantalum
74,Elemento 74,W,162,183.84,Tungsten
75,Elemento 75,Re,151,186.207,Rhenium
76,Elemento 76,Os,144,190.23,Osmium
77,Elemento 77,Ir,141,192.217,Iridium
78,Elemento 78,Pt,136,195.084,Platinum
79,Elemento 79,Au,136,196.966569,Gold
80,Elemento 80,Hg,132,200.592,Mercury
81,Elemento 81,Tl,145,204.38,Thallium
82,Elemento 82,Pb,146,207.2,Lead
83,Elemento 83,Bi,148,208.9804,Bismuth
84,Elemento 84,Po,140,209,Polonium
85,Elemento 85,At,150,210,Astatine
86,Elemento 86,Rn,150,222,Radon
87,Elemento 87,Fr,260,223,Francium
88,Elemento 88,Ra,221,226,Radium
89,Elemento 89,Ac,215,227,Actinium
90,Elemento 90,Th,206,232.0377,Thorium
91,Elemento 91,Pa,200,231.03588,Protactinium
92,Elemento 92,U,196,238.02891,Uranium
93,Elemento 93,Np,190,237,Neptunium
94,Elemento 94,Pu,187,244,Plutonium
95,Elemento 95,Am,180,243,Americium
96,Elemento 96,Cm,169,247,Curium
